# containment gap worklist 2026-09-25: shelves holding collections NO source ever claimed (coverage_ledger bucket) + judged ranges GCD notes contradict (gcdnotes --contradictions --all)
# sid	unclaimed	contradicted	editions_on_shelf	has_decision_file	name	status
17910	23	0	23	0	The Adventures of Tintin	DONE:G-001
3306	15	0	15	0	Crazy Magazine	DONE:G-001
16935	14	0	18	0	Strangers in Paradise	DONE:G-001
19635	10	0	10	0	Smurfs	DONE:G-001
19246	9	0	9	0	Obscure Cities - the Return of Captain Nemo	DONE:G-001
21934	8	0	8	0	Wolverines	DONE:G-001
12375	7	0	9	0	Morning Glories	DONE:G-001
19111	7	0	7	0	The Metabarons	DONE:G-001
5981	6	0	6	0	Earth	DONE:G-001
18048	6	0	6	0	The Baby-Sitters Club	DONE:G-001
7152	5	0	5	0	GabrielleBell.com Archive	DONE:G-001
8203	5	0	5	0	Gunsmith Cats: Burst	DONE:G-001
10514	5	0	5	0	Kramers Ergot	DONE:G-001
19212	5	0	13	0	The New Teen Titans	DONE:G-001
21814	5	0	9	0	Wolverine: Origins	DONE:G-001
66481	5	0	5	0	The Amazing Spider-Man: The Complete Clone Saga Epic	DONE:G-002
94613	5	0	8	0	Green Lantern	DONE:G-002
8162	4	0	4	0	Guardians of the Galaxy - New Guard	DONE:G-002
9845	4	0	4	0	Jim Butcher's The Dresden Files: Storm Front	DONE:G-002
10095	4	0	4	0	Just Beyond	DONE:G-002
12038	4	0	7	0	The Mighty Avengers	DONE:G-002
20458	4	0	4	0	Trese	DONE:G-002
66130	4	0	7	0	Tomb of Dracula	DONE:G-002
66465	4	0	44	0	Judge Dredd The Complete Case Files	DONE:G-002
94657	4	0	5	0	Love and Rockets	DONE:G-002
95935	4	0	4	0	Cable	DONE:G-002
100040	4	0	4	0	Stormwatch	DONE:G-002
152	3	0	3	0	7 Billion Needles	DONE:G-002
790	3	0	4	0	Alpha Flight	DONE:G-002
2846	3	0	3	0	Blacksad	DONE:G-002
5835	3	0	3	0	Drawn & Quarterly	DONE:G-002
5954	3	0	3	0	Dwellings by Jay Stephens	DONE:G-002
15920	3	0	3	0	Sons of Anarchy	DONE:G-002
17029	3	0	3	0	Suicide Squad: Rebirth	DONE:G-002
17217	3	0	3	0	Superman: The Silver Age Dailies	DONE:G-002
19185	3	0	3	0	The Nameless City	DONE:G-002
19196	3	0	3	0	The New 52: Futures End	DONE:G-002
19425	3	0	3	0	Rampaging Hulk	DONE:G-002
19881	3	0	5	0	Vault of Horror	DONE:G-002
57280	3	0	3	0	Click	DONE:G-002
65715	3	0	3	0	Star Trek	DONE:G-002
66050	3	0	3	0	The Red Star	DONE:G-002
94622	3	0	4	0	Hawkman	OPEN
94710	3	0	6	0	Supergirl	OPEN
94712	3	0	3	0	Supergirl v7.5 (2018)	OPEN
94757	3	0	3	0	Cyborg	OPEN
101508	3	0	3	0	X-Force	OPEN
2355	2	0	2	0	Battling Boy	DONE:G-001
3812	2	0	2	0	Child of the Storm	DONE:G-002
4937	2	0	2	0	Dark Shadows	OPEN
6122	2	0	4	0	Elvira Mistress of the Dark	OPEN
6376	2	0	2	0	Fables: The Wolf Among Us	OPEN
8048	2	0	2	0	Grimm Fairy Tales presents Oz	OPEN
8294	2	0	2	0	Hammerfall	OPEN
9384	2	0	2	0	Incredible Hulk By Jason Aaron	OPEN
9429	2	0	2	0	Infinite Crisis: Fight For the Multiverse	OPEN
9489	2	0	2	0	Injustice: Ground Zero	OPEN
9644	2	0	10	0	Irredeemable	OPEN
9794	2	0	2	0	Jazz Maynard	OPEN
10377	2	0	2	0	Deadpool	OPEN
10668	0	2	5	0	Legends of The Dark Knight: Jim Aparo	OPEN
12221	2	0	2	0	Mister X	OPEN
12283	2	0	4	0	Money Shot	OPEN
12744	2	0	2	0	Necroscope	OPEN
12793	2	0	4	0	New Avengers	OPEN
13490	2	0	2	0	Over the Ropes	OPEN
13609	0	2	7	0	Pathfinder	OPEN
14413	2	0	2	0	The Rawhide Kid	OPEN
15040	2	0	2	0	Sandman Mystery Theatre	OPEN
16006	2	0	7	0	Spectacular Spider-Man	OPEN
16262	2	0	2	0	Spider-Woman	OPEN
16434	2	0	2	0	Star Trek: The Next Generation	OPEN
16845	2	0	2	0	Steven Universe	OPEN
17057	2	0	3	0	Summit	OPEN
17362	2	0	2	0	Surfside Girls: The Secret of Danger Point	OPEN
17861	2	0	3	0	That Texas Blood	OPEN
18183	2	0	2	0	The Bunker	OPEN
